Face 129 :  | Normal(0,0,0) | Point[(1.20035,1.4007,1.944),(1.12308,1.43076,1.944),(1.13736,1.48076,1.5)] | Node[-1,-1,-1] | Edge[-1,-1,-1]
Face 130 :  | Normal(0,0,0) | Point[(1.22361,1.44721,1.5),(1.24686,1.49372,1.056),(1.15165,1.53076,1.056)] | Node[-1,-1,-1] | Edge[-1,-1,-1]
Face 131 :  | Normal(0,0,0) | Point[(1.22361,1.44721,1.5),(1.13736,1.48076,1.5),(1.15165,1.53076,1.056)] | Node[-1,-1,-1] | Edge[-1,-1,-1]
Face 132 :  | Normal(0,0,0) | Point[(1.24686,1.49372,1.056),(1.27548,1.55097,0.648),(1.16923,1.5923,0.648)] | Node[-1,-1,-1] | Edge[-1,-1,-1]
Face 133 :  | Normal(0,0,0) | Point[(1.24686,1.49372,1.056),(1.15165,1.53076,1.056),(1.16923,1.5923,0.648)] | Node[-1,-1,-1] | Edge[-1,-1,-1]
Face 134 :  | Normal(0,0,0) | Point[(1.27548,1.55097,0.648),(1.31484,1.62968,0.312),(1.1934,1.67691,0.312)] | Node[-1,-1,-1] | Edge[-1,-1,-1]
Face 135 :  | Normal(0,0,0) | Point[(1.27548,1.55097,0.648),(1.16923,1.5923,0.648),(1.1934,1.67691,0.312)] | Node[-1,-1,-1] | Edge[-1,-1,-1]
Face 136 :  | Normal(0,0,0) | Point[(1.31484,1.62968,0.312),(1.37029,1.74059,0.084),(1.22747,1.79614,0.084)] | Node[-1,-1,-1] | Edge[-1,-1,-1]
Face 137 :  | Normal(0,0,0) | Point[(1.31484,1.62968,0.312),(1.1934,1.67691,0.312),(1.22747,1.79614,0.084)] | Node[-1,-1,-1] | Edge[-1,-1,-1]
Face 138 :  | Normal(0,0,0) | Point[(1.37029,1.74059,0.084),(1.44721,1.89443,0),(1.27472,1.96152,0)] | Node[-1,-1,-1] | Edge[-1,-1,-1]
Face 139 :  | Normal(0,0,0) | Point[(1.37029,1.74059,0.084),(1.22747,1.79614,0.084),(1.27472,1.96152,0)] | Node[-1,-1,-1] | Edge[-1,-1,-1]
Face 140 :  | Normal(0,0,0) | Point[(1,1,3),(1.04725,1.16538,2.916),(1.02133,1.17067,2.916)] | Node[-1,-1,-1] | Edge[-1,-1,-1]
Face 141 :  | Normal(0,0,0) | Point[(1,1,3),(1,1,3),(1.02133,1.17067,2.916)] | Node[-1,-1,-1] | Edge[-1,-1,-1]
Face 142 :  | Normal(0,0,0) | Point[(1.04725,1.16538,2.916),(1.08132,1.28461,2.688),(1.03671,1.29371,2.688)] | Node[-1,-1,-1] | Edge[-1,-1,-1]
Face 143 :  | Normal(0,0,0) | Point[(1.04725,1.16538,2.916),(1.02133,1.17067,2.916),(1.03671,1.29371,2.688)] | Node[-1,-1,-1] | Edge[-1,-1,-1]
Face 144 :  | Normal(0,0,0) | Point[(1.08132,1.28461,2.688),(1.10549,1.36923,2.352),(1.04763,1.38103,2.352)] | Node[-1,-1,-1] | Edge[-1,-1,-1]
Face 145 :  | Normal(0,0,0) | Point[(1.08132,1.28461,2.688),(1.03671,1.29371,2.688),(1.04763,1.38103,2.352)] | Node[-1,-1,-1] | Edge[-1,-1,-1]
Face 146 :  | Normal(0,0,0) | Point[(1.10549,1.36923,2.352),(1.12308,1.43076,1.944),(1.05557,1.44454,1.944)] | Node[-1,-1,-1] | Edge[-1,-1,-1]
Face 147 :  | Normal(0,0,0) | Point[(1.10549,1.36923,2.352),(1.04763,1.38103,2.352),(1.05557,1.44454,1.944)] | Node[-1,-1,-1] | Edge[-1,-1,-1]
Face 148 :  | Normal(0,0,0) | Point[(1.12308,1.43076,1.944),(1.13736,1.48076,1.5),(1.06202,1.49614,1.5)] | Node[-1,-1,-1] | Edge[-1,-1,-1]
